GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Quincy Ac,TE,26,12,383,18.6,0.617,0.301,0.529,4.9,22.4,13.6,5.0,2.3,5.0,16.4,21.3,,0.5,0.5,1.0,0.121,,,,,
Cliff Alexande,LI,21,18,544,22.0,0.621,0.103,0.313,7.0,28.6,17.3,10.3,0.9,1.9,14.4,25.8,,0.9,0.7,1.6,0.140,,,,,
Cliff Alexande,ER,21,22,538,13.6,0.494,0.026,0.289,7.5,29.0,18.1,6.9,0.7,4.1,17.4,26.0,,-0.8,0.7,-0.1,-0.007,,,,,
Cliff Alexande,TOT,21,40,1082,17.8,0.561,0.066,0.302,7.3,28.8,17.7,8.6,0.8,3.0,15.8,25.9,,0.1,1.4,1.5,0.067,,,,,
Daniel Alexande,NA,25,15,193,8.4,0.485,0.482,0.071,3.2,20.5,11.4,9.7,2.0,1.3,14.8,14.7,,-0.1,0.3,0.2,0.057,,,,,
Chris Anderso,GR,24,39,668,15.3,0.602,0.075,0.422,13.1,16.9,15.0,5.3,1.9,4.7,16.3,13.3,,1.2,0.8,2.1,0.148,,,,,
Mike Anderso,SW,25,28,427,4.8,0.456,0.672,0.219,2.6,11.0,6.8,10.8,1.4,0.6,19.5,8.8,,-0.1,0.2,0.1,0.007,,,,,
Ryan Arcidiacon,AU,22,47,1293,10.6,0.596,0.415,0.258,2.2,12.6,7.7,18.9,1.6,0.3,23.0,11.3,,1.2,1.1,2.3,0.086,,,,,
J.J. Avil,TOT,25,41,857,15.4,0.530,0.302,0.143,7.3,19.0,13.1,12.8,2.2,1.9,10.6,17.9,,1.0,1.1,2.1,0.119,,,,,
J.J. Avil,TE,25,20,275,19.5,0.542,0.280,0.178,9.2,24.9,17.0,17.2,2.5,1.7,9.4,18.8,,0.6,0.3,0.9,0.159,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
J.J. Avil,WC,25,21,582,13.4,0.524,0.313,0.124,6.5,16.2,11.3,10.7,2.0,1.9,11.3,17.5,,0.4,0.8,1.2,0.100,,,,,
Cameron Ayer,TOT,25,33,644,5.5,0.442,0.815,0.070,2.6,6.9,4.8,6.2,1.1,0.3,9.5,12.2,,-0.3,0.4,0.1,0.010,,,,,
Cameron Ayer,RE,25,7,109,2.8,0.400,0.815,0.148,1.0,4.0,2.5,3.6,0.9,0.0,6.5,11.9,,-0.1,0.0,-0.1,-0.035,,,,,
Cameron Ayer,MA,25,26,535,6.0,0.451,0.815,0.054,3.0,7.4,5.3,6.8,1.2,0.4,10.1,12.2,,-0.2,0.4,0.2,0.019,,,,,
Jeff Ayre,LO,29,22,504,21.5,0.733,0.031,0.426,10.1,22.6,16.4,4.8,0.6,2.5,13.5,18.1,,1.8,0.4,2.3,0.215,,,,,
Ron Bake,WE,23,4,144,14.8,0.542,0.450,0.350,2.3,14.4,8.2,27.7,3.7,1.2,23.3,17.8,,0.0,0.2,0.2,0.077,,,,,
Gracin Bakumany,NA,19,40,416,10.8,0.496,0.000,0.176,12.8,21.2,16.8,4.5,1.4,2.0,16.0,13.2,,0.2,0.6,0.7,0.085,,,,,
Wade Baldwi,IO,20,33,931,14.5,0.520,0.210,0.371,2.5,13.5,8.0,30.3,2.3,1.1,20.2,23.4,,-0.1,0.9,0.8,0.043,,,,,
Cat Barbe,TOT,22,40,1371,11.9,0.502,0.197,0.298,1.3,8.8,5.1,21.6,1.6,0.2,15.9,24.1,,-0.6,0.6,0.1,0.002,,,,,
Cat Barbe,SW,22,19,717,12.6,0.495,0.213,0.262,1.2,6.9,4.1,24.6,1.5,0.0,13.8,25.1,,-0.2,0.2,0.0,0.000,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Cat Barbe,DE,22,21,654,11.1,0.510,0.177,0.343,1.3,10.9,6.2,18.3,1.6,0.4,18.4,23.0,,-0.4,0.4,0.1,0.004,,,,,
Paris Bas,ER,,15,178,6.9,0.391,0.221,0.206,9.8,15.8,12.7,10.2,0.8,4.8,17.7,22.1,,-0.5,0.2,-0.3,-0.082,,,,,
Malik Beasle,SF,20,16,497,18.4,0.573,0.343,0.267,4.9,20.8,12.8,12.9,1.6,0.3,11.4,24.4,,0.7,0.6,1.3,0.129,,,,,
