Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
1,Alex Abrines\abrinal01,SG,24,OKC,42,627,8.4,0.556,0.695,0.182,3.0,9.6,6.2,3.3,1.8,0.3,10.3,12.8,,0.5,0.6,1.1,0.088,,-1.2,-1.6,-2.8,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,44,860,6.9,0.510,0.773,0.218,3.5,18.7,11.1,4.0,0.8,1.1,14.9,14.7,,-0.3,0.8,0.4,0.025,,-3.1,-0.6,-3.7,-0.4
3,Steven Adams\adamsst01,C,24,OKC,43,1378,21.6,0.639,0.005,0.343,17.7,13.7,15.8,4.5,1.9,2.9,12.9,16.6,,4.1,1.8,5.9,0.206,,2.5,0.9,3.4,1.9
4,Bam Adebayo\adebaba01,C,20,MIA,39,777,16.7,0.612,0.022,0.497,9.4,18.4,13.9,11.9,1.6,2.5,14.2,14.9,,1.7,1.0,2.7,0.169,,-0.3,2.1,1.7,0.7
5,Arron Afflalo\afflaar01,SG,32,ORL,35,453,4.8,0.487,0.400,0.200,0.7,9.7,5.2,5.1,0.2,0.9,9.2,11.5,,-0.1,0.0,0.0,-0.004,,-4.3,-1.9,-6.2,-0.5
6,Cole Aldrich\aldrico01,C,29,MIN,11,25,11.7,0.457,0.000,0.571,9.2,19.0,14.0,5.5,4.0,0.0,10.2,17.3,,0.0,0.0,0.0,0.063,,-3.5,-0.2,-3.7,0.0
7,LaMarcus Aldridge\aldrila01,C,32,SAS,48,1634,23.6,0.558,0.086,0.296,10.9,16.9,13.9,10.3,0.8,2.8,7.1,28.6,,4.2,2.5,6.8,0.198,,2.1,0.1,2.2,1.8
8,Jarrett Allen\allenja01,C,19,BRK,40,685,15.4,0.589,0.037,0.337,10.4,18.2,14.3,4.4,1.2,3.7,13.7,15.6,,0.9,0.9,1.8,0.126,,-2.3,1.4,-0.8,0.2
9,Kadeem Allen\allenka01,PG,25,BOS,3,8,4.2,0.399,1.000,2.000,13.9,13.3,13.6,0.0,0.0,0.0,21.0,26.7,,0.0,0.0,0.0,-0.096,,-7.2,-8.2,-15.4,0.0
10,Tony Allen\allento01,SF,36,NOP,22,273,8.8,0.514,0.132,0.231,8.5,10.7,9.7,4.8,1.9,0.9,15.9,19.2,,-0.1,0.2,0.1,0.012,,-4.0,-1.7,-5.7,-0.3
11,Al-Farouq Aminu\aminual01,PF,27,POR,36,1083,12.4,0.544,0.576,0.125,4.5,20.8,12.8,5.2,1.5,1.8,10.1,14.9,,0.8,1.5,2.3,0.103,,-0.4,1.2,0.8,0.8
12,Justin Anderson\anderju01,SF,24,PHI,17,227,11.0,0.517,0.506,0.126,6.9,13.3,10.3,5.3,1.1,0.4,7.1,18.5,,0.2,0.2,0.4,0.085,,-1.2,-2.5,-3.6,-0.1
13,Kyle Anderson\anderky01,SF,24,SAS,43,1185,15.3,0.574,0.112,0.338,4.8,19.5,12.1,14.1,2.7,2.4,17.0,13.7,,1.3,2.4,3.7,0.149,,-0.9,4.4,3.5,1.7
14,Ryan Anderson\anderry01,PF,29,HOU,46,1301,12.1,0.577,0.708,0.175,6.3,16.1,11.2,5.1,0.8,1.1,8.8,14.4,,2.0,1.0,3.0,0.112,,0.7,-0.8,-0.1,0.6
15,Ike Anigbogu\anigbik01,C,19,IND,10,28,23.2,0.558,0.000,0.667,20.6,16.0,18.3,0.0,1.8,9.4,14.7,21.8,,0.1,0.0,0.1,0.176,,-3.9,-1.5,-5.3,0.0
